ID,AUTHOR NAME,BOOK/SERIES NAME,BOOKS PLEDGED,LINK MUST END IN ASIN,Clean ASIN,Clean Amazon US Link,Wide?,SPFBO/SPSFC?,SPFBO/SPSFC Cohort,Direct?,Direct link,Books available Internationally,International?,Image URL (for Rose's use),Kobo Link,Smashwords Link,Google Play Link,Apple Books Link,Barnes & Noble Link
1,BRYCE O'CONNOR,The Wings of War,5,https://www.amazon.com/dp/B074C9LJT4,B074C9LJT4,https://www.amazon.com/dp/B074C9LJT4,FALSE,TRUE,SPFBO4,FALSE,,,FALSE,"https://m.media-amazon.com/images/I/91OH+3iwEML._CLa|3045,2560|9152kgqRPVL.jpg,81D7UpX5HeL.jpg|0,0,1384,2560+1661,0,1384,2560+692,0,1661,2560_._SY300_.jpg",,,,,
2,BRYCE O'CONNOR,The Shattered Reigns,2,https://www.amazon.com/dp/B082MGDS7X,B082MGDS7X,https://www.amazon.com/dp/B082MGDS7X,FALSE,FALSE,,FALSE,,Book 2,TRUE,"https://m.media-amazon.com/images/I/81clwuvCphL._CLa%7C3208,2400%7C81FSDD454QL.jpg%7C0,0,1600,2400+1608,0,1600,2400_._SY300_.jpg",,,,,
3,BRYCE O'CONNOR,Stormweaver,2,https://www.amazon.com/dp/B08KGT4CLQ,B08KGT4CLQ,https://www.amazon.com/dp/B08KGT4CLQ,FALSE,FALSE,,FALSE,,,FALSE,,,,,,
4,BRYCE O'CONNOR,The Godforged Chronicles,2,https://www.amazon.com/dp/B08DHS3L72,B08DHS3L72,https://www.amazon.com/dp/B08DHS3L72,FALSE,TRUE,SPFBO7 Finalist,FALSE,,,FALSE,"https://m.media-amazon.com/images/I/81KXLz0zCBL._CLa%7C3420,2560%7C91SJS7hpcjL.jpg%7C0,0,1706,2560+1714,0,1706,2560_._SY300_.jpg",,,,,
5,DANIEL B. GREENE,A Witch's Sin,1,https://www.amazon.com/dp/B0C4C36WF7,B0C4C36WF7,https://www.amazon.com/dp/B0C4C36WF7,FALSE,FALSE,,FALSE,,,TRUE,,,,,,
6,LUKE CHMILENKO & GD PENMAN,Savage Dominion,3,https://www.amazon.com/dp/B0CHQXCV6T,B0CHQXCV6T,https://www.amazon.com/dp/B0CHQXCV6T,FALSE,FALSE,,FALSE,,,FALSE,"https://m.media-amazon.com/images/I/91JmE-mXqZS._CLa%7C2933,2400%7C91OcxQKLsqL.jpg,91uIWpCi+EL.jpg%7C0,0,1333,2400+1600,0,1333,2400+666,0,1600,2400_._SY300_.jpg",,,,,
7,SM BOYCE,Wraithblade,3,https://www.amazon.com/dp/B09CN5MXKQ,B09CN5MXKQ,https://www.amazon.com/dp/B09CN5MXKQ,FALSE,FALSE,,FALSE,,Book 1 & 2,TRUE,"https://m.media-amazon.com/images/I/81raK0UVL7L._CLa%7C2933,2400%7C81TlobcFSWL.jpg,81mNtWgt3QL.jpg%7C0,0,1333,2400+1600,0,1333,2400+666,0,1600,2400_._SY300_.jpg",,,,,
8,JEREMY BAI,Requiem for the Stars,1,https://www.amazon.com/dp/B0D9WPFTGV,B0D9WPFTGV,https://www.amazon.com/dp/B0D9WPFTGV,FALSE,FALSE,,FALSE,,,FALSE,,,,,,
9,JEREMY BAI,Heirs of Sun and Storm,2,https://www.amazon.com/dp/B09K48T297,B09K48T297,https://www.amazon.com/dp/B09K48T297,FALSE,FALSE,,FALSE,,,FALSE,"https://m.media-amazon.com/images/I/8155KUTpd6L._CLa%7C3422,2560%7C815bPLyLqeL.jpg%7C0,0,1707,2560+1715,0,1707,2560_._SY300_.jpg",,,,,
10,PHIL TUCKER,Chronicles of the Black Gate: Omnibus,5,https://www.amazon.com/dp/B09HHQ47WN,B09HHQ47WN,https://www.amazon.com/dp/B09HHQ47WN,FALSE,TRUE,SPFBO2 Finalist,FALSE,,,FALSE,,,,,,
